Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
429.mcf-453.povray-459.GemsFDTD-470.lbm,RoChRaBaCo,18,1.0,159389.260766,110182434.0,17830860.0,65.02,56.76,63.87,47573796.0,17702446.0,31.28,57.05,38.27,3.1371997446372197,0.04683379593975826,0.03544946271025269,0.04318148615427972,128013294.0,65276242.0,1.9611008550400313,1.0604931793278636,1.0035519009676725,1.592016770288489,0.039315474432266205,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,RoChRaBaCo,18,1.0,153009.675606,55053223.0,35240082.0,53.87,67.8,59.31,55467728.0,34991323.0,53.16,67.54,58.72,0.01372364789636966,0.02352263052406758,0.012807518321802845,0.021597405826779326,90293305.0,90459051.0,1.0018356399735284,1.0030451828728535,1.0010184953171506,0.01862313921021862,0.017202462074291085,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,RoChBaRaCo,20,1.0001290630455175,153887.589355,66909155.0,29395998.0,50.66,55.28,52.07,67807693.0,29475040.0,49.7,55.16,51.35,0.0649784611953204,0.05581095832193893,0.09709161379557636,0.07409681789436236,96305153.0,97282733.0,1.0101508586980803,1.001408255042059,1.000391810538907,0.060394709758629664,0.08559421584496936,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,RoChBaRaCo,20,1.0000337978815768,159446.068414,110171163.0,17828616.0,65.0,55.6,63.69,47568501.0,17699677.0,31.23,55.91,37.92,3.1374856384665457,0.046801277220796876,0.03544735774039872,0.043134192538022656,127999779.0,65268178.0,1.9611360838048826,1.0452197455276404,1.0009968646514633,1.5921434578436713,0.039290775139210685,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,RoChBaRaCo,20,1.000277263950044,153110.481876,51497906.0,23900243.0,50.59,51.09,50.75,52798259.0,24784322.0,53.06,51.04,52.41,0.053187215789533705,0.04936119464169968,0.09649618230001757,0.09655169986519378,75398149.0,77582581.0,1.02897195791902,1.0005467122533351,1.0022029285165723,0.051274205215616694,0.09652394108260567,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,RoChBaRaCo,20,1.0001961165745858,153183.402611,55051911.0,35236845.0,53.51,66.17,58.45,55462094.0,34989546.0,52.8,65.94,57.88,0.013661568005950636,0.023447647501003553,0.012807918734597943,0.02150749869053766,90288756.0,90451640.0,1.0018040341590264,1.0004995337208265,1.0006862598191733,0.018554607753477094,0.017157708712567804,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,RoChBaRaCo,20,0.9999795444831828,148720.374754,38871245.0,13535829.0,86.12,70.05,81.97,18936012.0,14440401.0,79.07,69.29,74.84,3.045766411325878,0.1323657434379581,0.15589641735028248,0.13451517950006225,52407074.0,33376413.0,1.5701829312814413,1.0671261796793987,1.0035144685694035,1.589066077381918,0.14520579842517237,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,RoChBaRaCo,20,1.0004389673741145,154017.006593,52337562.0,14036005.0,77.61,61.6,74.22,21247763.0,13451169.0,58.71,62.35,60.12,3.257043684945948,0.10964923209513895,0.13317371877196926,0.1420446813254388,66373567.0,34698932.0,1.9128417842946865,1.0986522889717458,1.0001883367195168,1.6833464585205433,0.13760920004870403,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,RaRoBaCoCh,24,1.000071898315911,163075.660532,109445406.0,17616805.0,61.48,56.44,60.78,47284763.0,17562326.0,19.5,56.81,29.61,3.1105681604308537,1.0002349926960448,0.990078800883074,1.0001593221684837,127062211.0,64847089.0,1.9594127193589215,1.042023355091407,37.04545730298047,2.0554015765634492,0.9951190615257788,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,RaRoBaCoCh,24,0.9998767247005248,157391.254864,54928535.0,34895104.0,40.55,63.21,49.35,54834032.0,34826219.0,40.56,63.51,49.47,0.9869203675122709,0.9999223039742491,0.9871011902067425,1.000029013191378,89823639.0,89660251.0,1.0018223013897207,34.37777784983275,35.077497072095824,0.99342133574326,0.9935651016990603,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,RaRoBaCoCh,24,1.0122116303254258,160478.189466,67228203.0,29421005.0,29.48,51.64,36.23,67176304.0,29366693.0,29.47,51.81,36.27,0.9983141269431489,1.0008293115149296,0.9984290793681881,1.0010255449325676,96649208.0,96542997.0,1.0011001419398653,42.404007519594714,44.64339516253269,0.9995717192290392,0.9997273121503778,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,RaRoBaCoCh,24,1.0002006190608557,156338.89395,51956371.0,13719624.0,76.21,58.76,72.56,21366715.0,13715192.0,51.66,58.87,54.48,3.2289132294092906,1.013990344718625,0.9847863640637016,1.014213374081958,65675995.0,35081907.0,1.8720759678201073,1.01226672002929,21.77005026215287,2.1214517870639575,0.9994998690728298,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,RaRoBaCoCh,24,1.0001328175731377,151812.895021,40175474.0,13903433.0,81.44,62.55,76.58,17449631.0,13973217.0,67.77,63.29,65.78,2.9064808083011275,1.0159944859264087,0.9864692666968904,1.0163113623799795,54078907.0,31422848.0,1.7210059062755865,1.5223701467243405,18.76514830347749,1.961237647113768,1.001390314538435,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,RaRoBaCoCh,24,1.0119736202337302,157168.753632,52923413.0,24014698.0,39.84,45.38,41.57,51381498.0,24694098.0,39.4,45.48,41.38,0.9902783843209912,1.0034302507816755,0.9905114201518009,1.003301226047649,76938111.0,76075596.0,1.0113376042430215,30.47099205823143,32.08694363897955,0.9968543175513334,0.996906323099725,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,RaRoChBaCo,28,1.0122387807628217,157851.419938,55440534.0,35302354.0,48.18,67.8,55.82,55606919.0,35305901.0,48.4,68.41,56.17,0.9875751154409604,0.9997242354066855,0.9866591824164402,1.0002251647815967,90742888.0,90912820.0,1.001872675685614,32.62394428927666,52.57710913180101,0.993649675423823,0.9934421735990184,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,RaRoChBaCo,28,1.0000403298318121,155190.400461,39190746.0,13994850.0,85.59,70.89,81.72,18523772.0,13944507.0,75.8,69.3,73.01,2.9805379713040194,1.0157065214260765,0.9876085949041613,1.0168418289672587,53185596.0,32468279.0,1.6380786921290162,1.4401743957175681,25.6872189801553,1.9981222463650479,1.00222521193571,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,RaRoChBaCo,28,1.009694307832432,157760.376826,50172260.0,23071329.0,48.84,51.37,49.64,54187456.0,25630492.0,47.75,51.93,49.1,0.9883961179279053,0.9999986201768578,0.9901796743715882,1.0024629640729343,73243589.0,79817948.0,1.0897601973054598,28.769505492140276,46.95321212504428,0.9941973690523815,0.9963213192222613,2,1,0
