Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
459.GemsFDTD,RoChRaBaCo,18,0.9992332576661577,0.999115730511633,43494104.0,20592500.0,53.07,80.23,61.8,42685370.0,20557355.0,53.87,80.27,62.45,0.009174884587840644,0.006835367923261554,0.012467484112851725,0.004312503275579737,64086604.0,63242725.0,1.0133434952399663,1.000442048019569,1.0016990269960124,0.008005126255551099,0.008389993694215732,2,1,0
459.GemsFDTD,RoChBaRaCo,20,1.0,1.0,43494141.0,20592500.0,52.79,79.35,61.33,42685377.0,20557366.0,53.59,79.42,61.99,0.009179147204777308,0.0068327251322568795,0.012491404123645121,0.004316022452190065,64086641.0,63242743.0,1.013343791871899,1.0032719249232813,1.0034908703497936,0.008005936168517094,0.008403713287917593,2,1,0
445.gobmk,RoChBaRaCo,20,1.0,1.0,20433719.0,20989625.0,90.7,88.81,89.75,20144414.0,20827715.0,90.85,88.84,89.83,0.012869684463547738,0.015723484164867494,0.015828209640919477,0.016216976285146976,41423344.0,40972129.0,1.0110127301415066,1.0146221356059641,1.0022057380143163,0.014296584314207616,0.016022592963033225,2,1,0
437.leslie3d,RoChBaRaCo,20,1.0,1.0,41937462.0,24072536.0,84.74,84.08,84.5,36123755.0,19240556.0,87.13,84.24,86.12,0.10935789992272758,0.1635289160452129,0.15703093484245498,0.16467671213873636,66009998.0,55364311.0,1.192284285810041,1.012122788199849,1.0102241100746332,0.13644340798397026,0.16085382349059568,2,1,0
429.mcf,RoChBaRaCo,20,1.0,1.0,59435112.0,8455375.0,18.39,66.29,24.37,61415043.0,8943207.0,18.67,64.57,24.52,0.06694608312515331,0.13766507152257731,0.03900408532237263,0.1160222891484483,67890487.0,70358250.0,1.0363491721601585,1.0016201166865715,1.0069730557936898,0.1023055773238653,0.07751318723541047,2,1,0
470.lbm,RoChBaRaCo,20,1.0,1.0,135423179.0,102043467.0,66.65,73.84,69.74,135418893.0,102030185.0,66.67,73.86,69.76,0.00071080970173695,0.0006584925336832519,0.0007692871085975818,0.00050452663116614,237466646.0,237449078.0,1.0000739863896209,1.0027863867361935,1.0027483694905681,0.0006846511177101009,0.0006369068698818609,2,1,0
433.milc,RoChBaRaCo,20,1.0,1.0,43829799.0,13838383.0,82.23,68.11,78.83,46348792.0,15319214.0,81.89,67.86,78.4,0.04771775651296176,0.05984700184153148,0.04118357033170625,0.0908744552402025,57668182.0,61668006.0,1.069359287240926,1.0012837138350037,1.013127569726908,0.053782379177246625,0.06602901278595438,2,1,0
429.mcf,RaRoBaCoCh,24,1.012451300510754,1.0184892019143394,60491610.0,8711718.0,15.91,62.73,21.82,60358846.0,8686953.0,15.71,62.78,21.64,0.9997069451007933,1.0033418994702983,0.9996898387426107,1.0038750652172517,69203328.0,69045799.0,1.0022815146219106,202.8253912141888,208.9844615881399,1.0015244222855457,1.0017824519799312,2,1,0
459.GemsFDTD,RaRoBaCoCh,24,1.0661425279368109,1.1020184136065168,43091882.0,20576414.0,23.29,78.78,41.22,43087765.0,20573443.0,23.28,78.98,41.28,0.9978268374780302,0.9996558198543981,0.9978021516147983,0.9996848751241759,63668296.0,63661208.0,1.000111339388973,238.92295145046464,238.39924780111076,0.9987413286662141,0.9987435133694871,2,1,0
470.lbm,RaRoBaCoCh,24,1.0213691512780734,1.0412477672496727,135450437.0,102065736.0,56.69,85.46,69.05,135391523.0,102007924.0,56.7,85.56,69.1,0.9986893028994784,0.9997967787332301,0.9986194410653563,0.9998325533464141,237516173.0,237399447.0,1.0004916860653008,340.9201355054638,367.37755518109225,0.9992430408163543,0.9992259972058852,2,1,0
